                sym.__mingw_invalidParameterHandler       1 0x401000 |   MATCH  (1.000000) | 0x401000        1 sym.__mingw_invalidParameterHandler
                                     sym.pre_c_init     321 0x401010 | UNMATCH  (0.961415) | 0x401010      321 sym.pre_c_init
                                   sym.pre_cpp_init      73 0x401160 |   MATCH  (0.972603) | 0x401160       73 sym.pre_cpp_init
                              sym.__tmainCRTStartup     816 0x4011b0 | UNMATCH  (0.958603) | 0x4011b0      816 sym.__tmainCRTStartup
                              sym.WinMainCRTStartup      34 0x4014e0 |   MATCH  (0.941176) | 0x4014e0       34 sym.WinMainCRTStartup
                                             entry0      34 0x401510 |   MATCH  (0.941176) | 0x401510       34 entry0
                           sym.FreeFixedStringArray      64 0x401540 | UNMATCH  (0.937500) | 0x401540       64 sym.FreeFixedStringArray
                                  sym.ThisAgentInit     193 0x401580 | UNMATCH  (0.958549) | 0x401580      193 sym.ThisAgentInit
                               sym.AllClassesReport     240 0x401650 | UNMATCH  (0.982906) | 0x401650      240 sym.AllClassesReport
                                sym.VerifyBootstrap     235 0x401740 | UNMATCH  (0.982979) | 0x401740      235 sym.VerifyBootstrap
                              sym.DefaultVarPromise     279 0x401830 |   MATCH  (1.000000) | 0x401830      279 sym.DefaultVarPromise
                       sym.DefaultVarPromiseWrapper       5 0x401950 |   MATCH  (1.000000) | 0x401950        5 sym.DefaultVarPromiseWrapper
                               sym.KeepAgentPromise    1767 0x401960 | UNMATCH  (0.992933) | 0x401960     1767 sym.KeepAgentPromise
                              sym.DeleteTypeContext      73 0x402050 |   MATCH  (1.000000) | 0x402050       73 sym.DeleteTypeContext
                     sym.KeepControlPromises.isra.4    3571 0x4020a0 | UNMATCH  (0.980398) | 0x4020a0     3571 sym.KeepControlPromises.isra.4
                    sym.NoteBundleCompliance.isra.5     607 0x402ea0 |   MATCH  (1.000000) | 0x402ea0      607 sym.NoteBundleCompliance.isra.5
             sym.ScheduleAgentOperationsNormalOrder     817 0x403100 |   MATCH  (1.000000) | 0x403100      817 sym.ScheduleAgentOperationsNormalOrder
            sym.ScheduleAgentOperationsTopDownOrder     431 0x403440 |   MATCH  (1.000000) | 0x403440      431 sym.ScheduleAgentOperationsTopDownOrder
                        sym.ScheduleAgentOperations      59 0x4035f0 |   MATCH  (1.000000) | 0x4035f0       59 sym.ScheduleAgentOperations
                       sym.ExpandThisPromiserScalar     104 0x403630 | UNMATCH  (0.980769) | 0x403630      104 sym.ExpandThisPromiserScalar
                         sym.RenderTemplateMustache     855 0x4036a0 | UNMATCH  (0.995198) | 0x4036a0      855 sym.RenderTemplateMustache
                             sym.SaveBufferCallback     281 0x403a00 | UNMATCH  (0.977941) | 0x403a00      281 sym.SaveBufferCallback
                          sym.GetExpandedAttributes     746 0x403b20 |   MATCH  (1.000000) | 0x403b20      746 sym.GetExpandedAttributes
                        sym.ClearExpandedAttributes     366 0x403e10 |   MATCH  (0.961749) | 0x403e10      366 sym.ClearExpandedAttributes
                          sym.ScheduleEditOperation    2000 0x403f80 | UNMATCH  (0.993795) | 0x403f80     2000 sym.ScheduleEditOperation
                              sym.VerifyFilePromise    5897 0x404750 | UNMATCH  (0.995533) | 0x404750     5897 sym.VerifyFilePromise
                        sym.FindFilePromiserObjects     897 0x405e60 |   MATCH  (1.000000) | 0x405e60      897 sym.FindFilePromiserObjects
                     sym.FindAndVerifyFilesPromises      34 0x4061f0 |   MATCH  (1.000000) | 0x4061f0       34 sym.FindAndVerifyFilesPromises
                            sym.VerifyFileIntegrity     731 0x406220 | UNMATCH  (0.994429) | 0x406220      731 sym.VerifyFileIntegrity
                           sym.VerifyFileAttributes     459 0x406500 | UNMATCH  (0.986395) | 0x406500      459 sym.VerifyFileAttributes
                                 sym.FileAutoDefine     100 0x4066d0 |   MATCH  (1.000000) | 0x4066d0      100 sym.FileAutoDefine
                                sym.PurgeLocalFiles    1094 0x406740 | UNMATCH  (0.981007) | 0x406740     1094 sym.PurgeLocalFiles
                                sym.CopyRegularFile    4188 0x406b90 | UNMATCH  (0.991762) | 0x406b90     4188 sym.CopyRegularFile
                                 sym.MatchRlistItem     122 0x407bf0 | UNMATCH  (0.980769) | 0x407bf0      122 sym.MatchRlistItem
                              sym.CheckLinkSecurity     149 0x407c70 | UNMATCH  (0.986577) | 0x407c70      149 sym.CheckLinkSecurity
                            sym.SkipDirLinks.isra.6     189 0x407d10 |   MATCH  (1.000000) | 0x407d10      189 sym.SkipDirLinks.isra.6
                                 sym.cf_stat.isra.7      80 0x407dd0 | UNMATCH  (0.974359) | 0x407dd0       80 sym.cf_stat.isra.7
              sym.VerifyCopiedFileAttributes.isra.8     415 0x407e20 | UNMATCH  (0.995110) | 0x407e20      415 sym.VerifyCopiedFileAttributes.isra.8
                                     sym.CfCopyFile    3645 0x407fc0 | UNMATCH  (0.993836) | 0x407fc0     3645 sym.CfCopyFile
                                     sym.VerifyCopy    1584 0x408e00 | UNMATCH  (0.987047) | 0x408e00     1584 sym.VerifyCopy
                            sym.SourceSearchAndCopy    3067 0x409430 | UNMATCH  (0.991425) | 0x409430     3067 sym.SourceSearchAndCopy
                                sym.CopyFileSources    1206 0x40a030 | UNMATCH  (0.996561) | 0x40a030     1206 sym.CopyFileSources
                          sym.SetFileAutoDefineList       8 0x40a4f0 |   MATCH  (1.000000) | 0x40a4f0        8 sym.SetFileAutoDefineList
                                 sym.VerifyFileLeaf    4949 0x40a500 | UNMATCH  (0.989510) | 0x40a500     4949 sym.VerifyFileLeaf
                          sym.HandleFileObstruction     372 0x40b860 | UNMATCH  (0.988732) | 0x40b860      372 sym.HandleFileObstruction
                                    sym.DepthSearch    2399 0x40b9e0 | UNMATCH  (0.991416) | 0x40b9e0     2399 sym.DepthSearch
                        sym.FileCopyConnectionClose      21 0x40c340 |   MATCH  (1.000000) | 0x40c340       21 sym.FileCopyConnectionClose
                          sym.ScheduleCopyOperation     815 0x40c360 |   MATCH  (1.000000) | 0x40c360      815 sym.ScheduleCopyOperation
                          sym.ScheduleLinkOperation     407 0x40c690 |   MATCH  (1.000000) | 0x40c690      407 sym.ScheduleLinkOperation
                                   sym.CfCreateFile    1169 0x40c830 | UNMATCH  (0.991213) | 0x40c830     1169 sym.CfCreateFile
                  sym.ScheduleLinkChildrenOperation    1388 0x40ccd0 | UNMATCH  (0.983788) | 0x40ccd0     1388 sym.ScheduleLinkChildrenOperation
                              sym.CompareFileHashes     264 0x40d240 |   MATCH  (1.000000) | 0x40d240      264 sym.CompareFileHashes
                             sym.CompareBinaryFiles     326 0x40d350 | UNMATCH  (0.955556) | 0x40d350      326 sym.CompareBinaryFiles
                           sym.VerifyStoragePromise    1686 0x40d4a0 | UNMATCH  (0.984233) | 0x40d4a0     1686 sym.VerifyStoragePromise
                         sym.GetGlobalMountedFSList      50 0x40db40 |   MATCH  (0.960000) | 0x40db40       50 sym.GetGlobalMountedFSList
                   sym.FindAndVerifyStoragePromises      45 0x40db80 |   MATCH  (1.000000) | 0x40db80       45 sym.FindAndVerifyStoragePromises
                           sym.DeleteStorageContext       1 0x40dbb0 |   MATCH  (1.000000) | 0x40dbb0        1 sym.DeleteStorageContext
                               sym.BuildCommandLine     190 0x40dbc0 |   MATCH  (1.000000) | 0x40dbc0      190 sym.BuildCommandLine
                         sym.RepairExec.constprop.1    2629 0x40dc80 | UNMATCH  (0.984436) | 0x40dc80     2629 sym.RepairExec.constprop.1
                              sym.VerifyExecPromise     624 0x40e6d0 | UNMATCH  (0.994907) | 0x40e6d0      624 sym.VerifyExecPromise
                                   sym.VerifyMethod    1734 0x40e940 | UNMATCH  (0.998832) | 0x40e940     1734 sym.VerifyMethod
                           sym.VerifyMethodsPromise     205 0x40f010 |   MATCH  (1.000000) | 0x40f010      205 sym.VerifyMethodsPromise
                                  sym.NewSQLColumns     517 0x40f0e0 | UNMATCH  (0.983740) | 0x40f0e0      517 sym.NewSQLColumns
                        sym.DeleteSQLColumns.part.2     130 0x40f2f0 |   MATCH  (0.907692) | 0x40f2f0      130 sym.DeleteSQLColumns.part.2
                         sym.VerifyDatabasePromises    6992 0x40f380 | UNMATCH  (0.992210) | 0x40f380     6992 sym.VerifyDatabasePromises
            sym.ProcessCountMaybeDefineClass.isra.0     186 0x410ed0 |   MATCH  (1.000000) | 0x410ed0      186 sym.ProcessCountMaybeDefineClass.isra.0
                         sym.VerifyProcessesPromise    2336 0x410f90 | UNMATCH  (0.995631) | 0x410f90     2336 sym.VerifyProcessesPromise
                          sym.VerifyServicesPromise    1177 0x4118b0 | UNMATCH  (0.994863) | 0x4118b0     1177 sym.VerifyServicesPromise
                         sym.NewEnvironmentsContext       1 0x411d50 |   MATCH  (1.000000) | 0x411d50        1 sym.NewEnvironmentsContext
                      sym.DeleteEnvironmentsContext       1 0x411d60 |   MATCH  (1.000000) | 0x411d60        1 sym.DeleteEnvironmentsContext
                      sym.VerifyEnvironmentsPromise       6 0x411d70 |   MATCH  (1.000000) | 0x411d70        6 sym.VerifyEnvironmentsPromise
                                sym.SaveXmlCallback      70 0x411d80 |   MATCH  (1.000000) | 0x411d80       70 sym.SaveXmlCallback
                              sym.FinishEditContext     756 0x411dd0 | UNMATCH  (0.994565) | 0x411dd0      756 sym.FinishEditContext
                               sym.LoadFileAsXmlDoc     294 0x4120d0 | UNMATCH  (0.992982) | 0x4120d0      294 sym.LoadFileAsXmlDoc
                                 sym.NewEditContext     398 0x412200 | UNMATCH  (0.989529) | 0x412200      398 sym.NewEditContext
                               sym.SaveXmlDocAsFile      40 0x412390 |   MATCH  (1.000000) | 0x412390       40 sym.SaveXmlDocAsFile
                                    sym.MatchRegion     215 0x4123c0 | UNMATCH  (0.962264) | 0x4123c0      215 sym.MatchRegion
                                     sym.SelectLine     408 0x4124a0 |   MATCH  (1.000000) | 0x4124a0      408 sym.SelectLine
                                    sym.MatchPolicy    1597 0x412640 | UNMATCH  (0.991083) | 0x412640     1597 sym.MatchPolicy
                            sym.SelectRegion.isra.3     337 0x412c80 |   MATCH  (1.000000) | 0x412c80      337 sym.SelectRegion.isra.3
                            sym.VerifyLineDeletions    1517 0x412de0 | UNMATCH  (0.994624) | 0x412de0     1517 sym.VerifyLineDeletions
                              sym.VerifyColumnEdits    3329 0x4133d0 | UNMATCH  (0.996367) | 0x4133d0     3329 sym.VerifyColumnEdits
                                 sym.VerifyPatterns    2304 0x4140e0 | UNMATCH  (0.997368) | 0x4140e0     2304 sym.VerifyPatterns
                   sym.InsertCompoundLineAtLocation    1959 0x4149e0 | UNMATCH  (0.995812) | 0x4149e0     1959 sym.InsertCompoundLineAtLocation
                  sym.InsertMultipleLinesAtLocation    1327 0x415190 | UNMATCH  (0.989164) | 0x415190     1327 sym.InsertMultipleLinesAtLocation
                           sym.VerifyLineInsertions    2267 0x4156c0 | UNMATCH  (0.999090) | 0x4156c0     2267 sym.VerifyLineInsertions
                            sym.KeepEditLinePromise     327 0x415fa0 |   MATCH  (1.000000) | 0x415fa0      327 sym.KeepEditLinePromise
                     sym.ScheduleEditLineOperations     565 0x4160f0 | UNMATCH  (0.996383) | 0x4160f0      565 sym.ScheduleEditLineOperations
                sym.MakeTemporaryBundleFromTemplate    1898 0x416330 | UNMATCH  (0.988285) | 0x416330     1898 sym.MakeTemporaryBundleFromTemplate
                         sym.XPathVerifyConvergence      83 0x416aa0 |   MATCH  (0.975904) | 0x416aa0       83 sym.XPathVerifyConvergence
                                sym.XPathRemoveHead     135 0x416b00 | UNMATCH  (0.940741) | 0x416b00      135 sym.XPathRemoveHead
                        sym.XPathSegmentExtractNode     805 0x416b90 | UNMATCH  (0.967419) | 0x416b90      805 sym.XPathSegmentExtractNode
                           sym.XPathHeadExtractNode     201 0x416ec0 | UNMATCH  (0.970149) | 0x416ec0      201 sym.XPathHeadExtractNode
                       sym.XmlVerifyTextInNodeExact      92 0x416f90 |   MATCH  (1.000000) | 0x416f90       92 sym.XmlVerifyTextInNodeExact
                       sym.XmlVerifyAttributeInNode     111 0x416ff0 |   MATCH  (1.000000) | 0x416ff0      111 sym.XmlVerifyAttributeInNode
                   sym.XmlVerifyTextInNodeSubstring      84 0x417060 |   MATCH  (1.000000) | 0x417060       84 sym.XmlVerifyTextInNodeSubstring
               sym.SanityCheckTextInsertions.isra.8      41 0x4170c0 |   MATCH  (1.000000) | 0x4170c0       41 sym.SanityCheckTextInsertions.isra.8
                          sym.XmlSelectNode.isra.10     562 0x4170f0 |   MATCH  (1.000000) | 0x4170f0      562 sym.XmlSelectNode.isra.10
                               sym.VerifyXPathBuild    2667 0x417330 | UNMATCH  (0.990222) | 0x417330     2667 sym.VerifyXPathBuild
                            sym.XmlNodesCompareTags      75 0x417da0 |   MATCH  (1.000000) | 0x417da0       75 sym.XmlNodesCompareTags
               sym.XmlVerifyNodeInNodeExact.part.13     109 0x417df0 |   MATCH  (1.000000) | 0x417df0      109 sym.XmlVerifyNodeInNodeExact.part.13
                                sym.XmlNodesCompare     419 0x417e60 |   MATCH  (1.000000) | 0x417e60      419 sym.XmlNodesCompare
                      sym.XmlVerifyNodeInNodeSubset     490 0x418010 |   MATCH  (1.000000) | 0x418010      490 sym.XmlVerifyNodeInNodeSubset
                             sym.KeepEditXmlPromise   10184 0x418200 | UNMATCH  (0.999802) | 0x418200    10184 sym.KeepEditXmlPromise
                      sym.ScheduleEditXmlOperations     471 0x41a9d0 | UNMATCH  (0.995717) | 0x41a9d0      471 sym.ScheduleEditXmlOperations
                               sym.XmlCompareToFile     278 0x41abb0 | UNMATCH  (0.992424) | 0x41abb0      278 sym.XmlCompareToFile
                                   sym.ConsiderFile     295 0x41acd0 | UNMATCH  (0.992908) | 0x41acd0      295 sym.ConsiderFile
                  sym.AddFilenameToListOfSuspicious      18 0x41ae00 |   MATCH  (1.000000) | 0x41ae00       18 sym.AddFilenameToListOfSuspicious
                              sym.ConsiderLocalFile      75 0x41ae20 | UNMATCH  (0.973333) | 0x41ae20       75 sym.ConsiderLocalFile
                           sym.ConsiderAbstractFile     255 0x41ae70 | UNMATCH  (0.992063) | 0x41ae70      255 sym.ConsiderAbstractFile
                               sym.SelectOwnerMatch     282 0x41af70 | UNMATCH  (0.985294) | 0x41af70      282 sym.SelectOwnerMatch
                                     sym.SelectLeaf    1742 0x41b090 | UNMATCH  (0.983393) | 0x41b090     1742 sym.SelectLeaf
                                sym.FreePackageInfo      58 0x41b760 | UNMATCH  (0.862069) | 0x41b760       58 sym.FreePackageInfo
                      sym.PackageWrapperCommunicate     161 0x41b7a0 | UNMATCH  (0.987578) | 0x41b7a0      161 sym.PackageWrapperCommunicate
                        sym.ParseAndLogErrorMessage     149 0x41b850 |   MATCH  (1.000000) | 0x41b850      149 sym.ParseAndLogErrorMessage
                                   sym.ParseOptions     131 0x41b8f0 |   MATCH  (1.000000) | 0x41b8f0      131 sym.ParseOptions
                          sym.InstallPackageGeneric     352 0x41b980 | UNMATCH  (0.988131) | 0x41b980      352 sym.InstallPackageGeneric
                     sym.DeletePackageModuleWrapper      86 0x41bae0 | UNMATCH  (0.842105) | 0x41bae0       86 sym.DeletePackageModuleWrapper
                        sym.NewPackageModuleWrapper     790 0x41bb40 | UNMATCH  (0.986911) | 0x41bb40      790 sym.NewPackageModuleWrapper
                sym.AcquireGlobalPackagePromiseLock     245 0x41be60 |   MATCH  (1.000000) | 0x41be60      245 sym.AcquireGlobalPackagePromiseLock
                  sym.YieldGlobalPackagePromiseLock     177 0x41bf60 |   MATCH  (1.000000) | 0x41bf60      177 sym.YieldGlobalPackagePromiseLock
                           sym.WritePackageDataToDB     648 0x41c020 | UNMATCH  (0.955906) | 0x41c020      648 sym.WritePackageDataToDB
                               sym.UpdatePackagesDB     830 0x41c2b0 | UNMATCH  (0.992611) | 0x41c2b0      830 sym.UpdatePackagesDB
                                    sym.UpdateCache     274 0x41c5f0 | UNMATCH  (0.984962) | 0x41c5f0      274 sym.UpdateCache
                 sym.UpdateSinglePackageModuleCache     937 0x41c710 | UNMATCH  (0.989142) | 0x41c710      937 sym.UpdateSinglePackageModuleCache
                            sym.UpdatePackagesCache     349 0x41cac0 |   MATCH  (1.000000) | 0x41cac0      349 sym.UpdatePackagesCache
                               sym.IsPackageInCache     475 0x41cc20 |   MATCH  (1.000000) | 0x41cc20      475 sym.IsPackageInCache
                         sym.ValidateChangedPackage     261 0x41ce00 |   MATCH  (1.000000) | 0x41ce00      261 sym.ValidateChangedPackage
                                  sym.RemovePackage     313 0x41cf10 | UNMATCH  (0.974441) | 0x41cf10      313 sym.RemovePackage
                     sym.HandlePresentPromiseAction    4089 0x41d050 | UNMATCH  (0.986183) | 0x41d050     4089 sym.HandlePresentPromiseAction
                      sym.HandleAbsentPromiseAction     485 0x41e050 |   MATCH  (1.000000) | 0x41e050      485 sym.HandleAbsentPromiseAction
                             sym.ExecPackageCommand    1776 0x41e240 | UNMATCH  (0.988597) | 0x41e240     1776 sym.ExecPackageCommand
                          sym.PrefixLocalRepository     175 0x41e930 | UNMATCH  (0.988571) | 0x41e930      175 sym.PrefixLocalRepository
                             sym.DeletePackageItems      78 0x41e9e0 | UNMATCH  (0.897436) | 0x41e9e0       78 sym.DeletePackageItems
                          sym.DeletePackageManagers      78 0x41ea30 | UNMATCH  (0.948718) | 0x41ea30       78 sym.DeletePackageManagers
                              sym.GetPackageManager     204 0x41ea80 | UNMATCH  (0.989950) | 0x41ea80      204 sym.GetPackageManager
                        sym.InvalidateSoftwareCache     126 0x41eb50 | UNMATCH  (0.983051) | 0x41eb50      126 sym.InvalidateSoftwareCache
                                sym.ExecuteSchedule    1904 0x41ebd0 | UNMATCH  (0.994490) | 0x41ebd0     1904 sym.ExecuteSchedule
                           sym.PackageAction2String     176 0x41f340 |   MATCH  (1.000000) | 0x41f340      176 sym.PackageAction2String
                    sym.AddPackageToSchedule.part.8     162 0x41f3f0 |   MATCH  (1.000000) | 0x41f3f0      162 sym.AddPackageToSchedule.part.8
                       sym.ExecutePatch.constprop.9    1120 0x41f4a0 | UNMATCH  (0.979761) | 0x41f4a0     1120 sym.ExecutePatch.constprop.9
                            sym.ReportPatches__stub      17 0x41f900 |   MATCH  (1.000000) | 0x41f900       17 sym.ReportPatches__stub
                        sym.FindLargestVersionAvail     434 0x41f920 | UNMATCH  (0.985915) | 0x41f920      434 sym.FindLargestVersionAvail
                                sym.ComparePackages     519 0x41fae0 | UNMATCH  (0.996101) | 0x41fae0      519 sym.ComparePackages
                                     sym.PatchMatch     419 0x41fcf0 | UNMATCH  (0.995025) | 0x41fcf0      419 sym.PatchMatch
                                   sym.PackageMatch     388 0x41fea0 | UNMATCH  (0.994521) | 0x41fea0      388 sym.PackageMatch
                       sym.ExecuteScheduledPackages     270 0x420030 |   MATCH  (1.000000) | 0x420030      270 sym.ExecuteScheduledPackages
                         sym.CleanScheduledPackages      55 0x420140 |   MATCH  (1.000000) | 0x420140       55 sym.CleanScheduledPackages
                             sym.PrependPackageItem     191 0x420180 |   MATCH  (1.000000) | 0x420180      191 sym.PrependPackageItem
                    sym.PrependMultiLinePackageItem     630 0x420240 | UNMATCH  (0.987138) | 0x420240      630 sym.PrependMultiLinePackageItem
                               sym.PrependPatchItem     566 0x4204c0 | UNMATCH  (0.975133) | 0x4204c0      566 sym.PrependPatchItem
                sym.AddPatchToSchedule.constprop.11     208 0x420700 |   MATCH  (1.000000) | 0x420700      208 sym.AddPatchToSchedule.constprop.11
              sym.AddPackageToSchedule.constprop.12     208 0x4207d0 |   MATCH  (1.000000) | 0x4207d0      208 sym.AddPackageToSchedule.constprop.12
                              sym.SchedulePackageOp    4899 0x4208a0 | UNMATCH  (0.997915) | 0x4208a0     4899 sym.SchedulePackageOp
                            sym.VerifyPromisedPatch    1472 0x421bd0 | UNMATCH  (0.998615) | 0x421bd0     1472 sym.VerifyPromisedPatch
                              sym.CheckPackageState    1281 0x422190 |   MATCH  (1.000000) | 0x422190     1281 sym.CheckPackageState
                          sym.VerifyPromisedPackage    1088 0x4226a0 |   MATCH  (1.000000) | 0x4226a0     1088 sym.VerifyPromisedPackage
                          sym.VerifyPackagesPromise    6801 0x422ae0 | UNMATCH  (0.984586) | 0x422ae0     6801 sym.VerifyPackagesPromise
                    sym.HandleNewPackagePromiseType    1445 0x424580 | UNMATCH  (0.998554) | 0x424580     1445 sym.HandleNewPackagePromiseType
                             sym.VerifyUsersPromise     672 0x424b30 | UNMATCH  (0.993874) | 0x424b30      672 sym.VerifyUsersPromise
                            sym.PromiseResultUpdate     240 0x424dd0 |   MATCH  (1.000000) | 0x424dd0      240 sym.PromiseResultUpdate
                              sym.PromiseResultIsOK      15 0x424ec0 |   MATCH  (1.000000) | 0x424ec0       15 sym.PromiseResultIsOK
                                  sym.FuzzySetMatch    1967 0x424ed0 | UNMATCH  (0.972006) | 0x424ed0     1967 sym.FuzzySetMatch
                                 sym.FuzzyHostParse      78 0x425680 | UNMATCH  (0.974359) | 0x425680       78 sym.FuzzyHostParse
                                 sym.FuzzyHostMatch     355 0x4256d0 | UNMATCH  (0.976945) | 0x4256d0      355 sym.FuzzyHostMatch
                                sym.FuzzyMatchParse     921 0x425840 | UNMATCH  (0.973451) | 0x425840      921 sym.FuzzyMatchParse
                                  sym.ParseHostPort     513 0x425be0 | UNMATCH  (0.979675) | 0x425be0      513 sym.ParseHostPort
                                        sym.xmalloc      48 0x425df0 | UNMATCH  (0.916667) | 0x425df0       48 sym.xmalloc
                                        sym.xcalloc      64 0x425e20 | UNMATCH  (0.937500) | 0x425e20       64 sym.xcalloc
                                       sym.xrealloc      48 0x425e60 | UNMATCH  (0.916667) | 0x425e60       48 sym.xrealloc
                                        sym.xstrdup      32 0x425e90 | UNMATCH  (0.875000) | 0x425e90       32 sym.xstrdup
                                       sym.xstrndup      32 0x425eb0 |   MATCH  (0.937500) | 0x425eb0       32 sym.xstrndup
                                        sym.xmemdup      48 0x425ed0 |   MATCH  (0.958333) | 0x425ed0       48 sym.xmemdup
                                     sym.xvasprintf      48 0x425f00 |   MATCH  (0.958333) | 0x425f00       48 sym.xvasprintf
                                      sym.xasprintf      34 0x425f30 |   MATCH  (1.000000) | 0x425f30       34 sym.xasprintf
                           sym.ClearFilesAttributes      37 0x425f60 |   MATCH  (1.000000) | 0x425f60       37 sym.ClearFilesAttributes
                         sym.GetServicesConstraints     202 0x425f90 |   MATCH  (1.000000) | 0x425f90      202 sym.GetServicesConstraints
                     sym.GetEnvironmentsConstraints     332 0x426060 |   MATCH  (1.000000) | 0x426060      332 sym.GetEnvironmentsConstraints
                      sym.GetExecContainConstraints     348 0x4261b0 |   MATCH  (1.000000) | 0x4261b0      348 sym.GetExecContainConstraints
                        sym.GetRecursionConstraints     229 0x426310 |   MATCH  (1.000000) | 0x426310      229 sym.GetRecursionConstraints
                              sym.GetAclConstraints     314 0x426400 |   MATCH  (1.000000) | 0x426400      314 sym.GetAclConstraints
                           sym.GetSelectConstraints     960 0x426540 |   MATCH  (1.000000) | 0x426540      960 sym.GetSelectConstraints
              sym.ActionAttributeLogLevelFromString     162 0x426900 |   MATCH  (1.000000) | 0x426900      162 sym.ActionAttributeLogLevelFromString
                      sym.GetTransactionConstraints     856 0x4269b0 |   MATCH  (1.000000) | 0x4269b0      856 sym.GetTransactionConstraints
                        sym.IsClassesBodyConstraint     353 0x426d10 |   MATCH  (1.000000) | 0x426d10      353 sym.IsClassesBodyConstraint
                  sym.GetClassDefinitionConstraints     502 0x426e80 |   MATCH  (1.000000) | 0x426e80      502 sym.GetClassDefinitionConstraints
                      sym.GetEnvironmentsAttributes     117 0x427080 |   MATCH  (1.000000) | 0x427080      117 sym.GetEnvironmentsAttributes
                          sym.GetServicesAttributes     145 0x427100 |   MATCH  (1.000000) | 0x427100      145 sym.GetServicesAttributes
                              sym.GetUserAttributes     610 0x4271a0 |   MATCH  (1.000000) | 0x4271a0      610 sym.GetUserAttributes
                              sym.GetExecAttributes     387 0x427410 |   MATCH  (1.000000) | 0x427410      387 sym.GetExecAttributes
                            sym.GetMethodAttributes     228 0x4275a0 |   MATCH  (1.000000) | 0x4275a0      228 sym.GetMethodAttributes
                           sym.GetDeleteConstraints     116 0x427690 |   MATCH  (1.000000) | 0x427690      116 sym.GetDeleteConstraints
                          sym.GetFSAttrsConstraints      66 0x427710 |   MATCH  (1.000000) | 0x427710       66 sym.GetFSAttrsConstraints
                           sym.GetRenameConstraints     231 0x427760 |   MATCH  (1.000000) | 0x427760      231 sym.GetRenameConstraints
              sym.GetBestFileChangeHashMethod__stub       6 0x427850 |   MATCH  (1.000000) | 0x427850        6 sym.GetBestFileChangeHashMethod__stub
                        sym.GetChangeMgtConstraints     615 0x427860 | UNMATCH  (0.996644) | 0x427860      615 sym.GetChangeMgtConstraints
                             sym.GetCopyConstraints    1040 0x427ad0 |   MATCH  (1.000000) | 0x427ad0     1040 sym.GetCopyConstraints
                             sym.GetLinkConstraints     362 0x427ee0 |   MATCH  (1.000000) | 0x427ee0      362 sym.GetLinkConstraints
                                sym.GetEditDefaults     329 0x428050 |   MATCH  (1.000000) | 0x428050      329 sym.GetEditDefaults
                             sym.GetFilesAttributes    1782 0x4281a0 | UNMATCH  (0.997755) | 0x4281a0     1782 sym.GetFilesAttributes
                          sym.GetContextConstraints     370 0x4288a0 | UNMATCH  (0.994595) | 0x4288a0      370 sym.GetContextConstraints
                      sym.GetClassContextAttributes     117 0x428a20 |   MATCH  (1.000000) | 0x428a20      117 sym.GetClassContextAttributes
                          sym.GetPackageConstraints    1796 0x428aa0 |   MATCH  (1.000000) | 0x428aa0     1796 sym.GetPackageConstraints
                       sym.GetNewPackageConstraints     664 0x4291b0 | UNMATCH  (0.996923) | 0x4291b0      664 sym.GetNewPackageConstraints
                           sym.GetPackageAttributes     136 0x429450 |   MATCH  (1.000000) | 0x429450      136 sym.GetPackageAttributes
                    sym.GetProcessFilterConstraints     800 0x4294e0 |   MATCH  (1.000000) | 0x4294e0      800 sym.GetProcessFilterConstraints
                          sym.GetMatchesConstraints     176 0x429800 |   MATCH  (1.000000) | 0x429800      176 sym.GetMatchesConstraints
                           sym.GetProcessAttributes     376 0x4298b0 |   MATCH  (1.000000) | 0x4298b0      376 sym.GetProcessAttributes
